Occupation Code,Occupation Title,Annual Median Wage,Occupation Group
51-4060,"Model Makers and Patternmakers, Metal and Plastic",52200,Production Occupations
51-4061,"Model Makers, Metal and Plastic",57020,Production Occupations
51-4062,"Patternmakers, Metal and Plastic",46910,Production Occupations
51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",32470,Production Occupations
51-4071,Foundry Mold and Coremakers,35590,Production Occupations
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",32130,Production Occupations
51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",36330,Production Occupations
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",36330,Production Occupations
51-4110,Tool and Die Makers,53920,Production Occupations
51-4111,Tool and Die Makers,53920,Production Occupations
51-4120,"Welding, Soldering, and Brazing Workers",42100,Production Occupations
51-4121,"Welders, Cutters, Solderers, and Brazers",42490,Production Occupations
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",38310,Production Occupations
51-4190,Miscellaneous Metal Workers and Plastic Workers,36050,Production Occupations
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",38250,Production Occupations
51-4192,"Layout Workers, Metal and Plastic",49940,Production Occupations
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",33500,Production Occupations
51-4194,"Tool Grinders, Filers, and Sharpeners",39330,Production Occupations
51-4199,"Metal Workers and Plastic Workers, All Other",34830,Production Occupations
51-5100,Printing Workers,36610,Production Occupations
51-5110,Printing Workers,36610,Production Occupations
51-5111,Prepress Technicians and Workers,40510,Production Occupations
51-5112,Printing Press Operators,36910,Production Occupations
51-5113,Print Binding and Finishing Workers,33040,Production Occupations
51-6000,"Textile, Apparel, and Furnishings Workers",26370,Production Occupations
51-6010,Laundry and Dry-Cleaning Workers,24220,Production Occupations
51-6011,Laundry and Dry-Cleaning Workers,24220,Production Occupations
51-6020,"Pressers, Textile, Garment, and Related Materials",24190,Production Occupations
51-6021,"Pressers, Textile, Garment, and Related Materials",24190,Production Occupations
51-6030,Sewing Machine Operators,26420,Production Occupations
51-6031,Sewing Machine Operators,26420,Production Occupations
51-6040,Shoe and Leather Workers,29830,Production Occupations
51-6041,Shoe and Leather Workers and Repairers,29560,Production Occupations
51-6042,Shoe Machine Operators and Tenders,30570,Production Occupations
51-6050,"Tailors, Dressmakers, and Sewers",31230,Production Occupations
51-6051,"Sewers, Hand",29950,Production Occupations
51-6052,"Tailors, Dressmakers, and Custom Sewers",31520,Production Occupations
51-6060,"Textile Machine Setters, Operators, and Tenders",29640,Production Occupations
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,29460,Production Occupations
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",28730,Production Occupations
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",29980,Production Occupations
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",29790,Production Occupations
51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",33830,Production Occupations
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",36110,Production Occupations
51-6092,Fabric and Apparel Patternmakers,45070,Production Occupations
51-6093,Upholsterers,35130,Production Occupations
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",27970,Production Occupations
51-7000,Woodworkers,32760,Production Occupations
51-7010,Cabinetmakers and Bench Carpenters,35790,Production Occupations
51-7011,Cabinetmakers and Bench Carpenters,35790,Production Occupations
51-7020,Furniture Finishers,32480,Production Occupations
51-7021,Furniture Finishers,32480,Production Occupations
51-7030,"Model Makers and Patternmakers, Wood",61130,Production Occupations
51-7031,"Model Makers, Wood",59260,Production Occupations
51-7032,"Patternmakers, Wood",64880,Production Occupations
51-7040,"Woodworking Machine Setters, Operators, and Tenders",30760,Production Occupations
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",30410,Production Occupations
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",30990,Production Occupations
51-7090,Miscellaneous Woodworkers,33110,Production Occupations
51-7099,"Woodworkers, All Other",33110,Production Occupations
51-8000,Plant and System Operators,60330,Production Occupations
51-8010,"Power Plant Operators, Distributors, and Dispatchers",85950,Production Occupations
51-8011,Nuclear Power Reactor Operators,100530,Production Occupations
51-8012,Power Distributors and Dispatchers,90700,Production Occupations
51-8013,Power Plant Operators,81990,Production Occupations
51-8020,Stationary Engineers and Boiler Operators,62150,Production Occupations
51-8021,Stationary Engineers and Boiler Operators,62150,Production Occupations
51-8030,Water and Wastewater Treatment Plant and System Operators,47760,Production Occupations
51-8031,Water and Wastewater Treatment Plant and System Operators,47760,Production Occupations
51-8090,Miscellaneous Plant and System Operators,67890,Production Occupations
51-8091,Chemical Plant and System Operators,62550,Production Occupations
51-8092,Gas Plant Operators,70710,Production Occupations
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",74180,Production Occupations
51-8099,"Plant and System Operators, All Other",58390,Production Occupations
51-9000,Other Production Occupations,35580,Production Occupations
51-9010,"Chemical Processing Machine Setters, Operators, and Tenders",46220,Production Occupations
51-9011,Chemical Equipment Operators and Tenders,49130,Production Occupations
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",41330,Production Occupations
51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",36640,Production Occupations
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",37560,Production Occupations
51-9022,"Grinding and Polishing Workers, Hand",30600,Production Occupations
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",37780,Production Occupations
51-9030,Cutting Workers,34810,Production Occupations
51-9031,"Cutters and Trimmers, Hand",30200,Production Occupations
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",35600,Production Occupations
51-9040,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",35480,Production Occupations
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",35480,Production Occupations
51-9050,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",40090,Production Occupations
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",40090,Production Occupations
51-9060,"Inspectors, Testers, Sorters, Samplers, and Weighers",39140,Production Occupations
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",39140,Production Occupations
51-9070,Jewelers and Precious Stone and Metal Workers,40870,Production Occupations
51-9071,Jewelers and Precious Stone and Metal Workers,40870,Production Occupations
51-9080,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,37370,Production Occupations
51-9081,Dental Laboratory Technicians,41340,Production Occupations
51-9082,Medical Appliance Technicians,40690,Production Occupations
51-9083,Ophthalmic Laboratory Technicians,32620,Production Occupations
51-9110,Packaging and Filling Machine Operators and Tenders,30990,Production Occupations
51-9111,Packaging and Filling Machine Operators and Tenders,30990,Production Occupations
51-9120,Painting Workers,37770,Production Occupations
51-9123,"Painting, Coating, and Decorating Workers",32950,Production Occupations
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",38150,Production Occupations
51-9140,Semiconductor Processing Technicians,38060,Production Occupations
51-9141,Semiconductor Processing Technicians,38060,Production Occupations
51-9150,Photographic Process Workers and Processing Machine Operators,32280,Production Occupations
51-9151,Photographic Process Workers and Processing Machine Operators,32280,Production Occupations
51-9160,Computer Numerically Controlled Tool Operators and Programmers,43010,Production Occupations
51-9161,Computer Numerically Controlled Tool Operators,41200,Production Occupations
51-9162,Computer Numerically Controlled Tool Programmers,56450,Production Occupations
51-9190,Miscellaneous Production Workers,31070,Production Occupations
51-9191,Adhesive Bonding Machine Operators and Tenders,34340,Production Occupations
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",31850,Production Occupations
51-9193,Cooling and Freezing Equipment Operators and Tenders,35290,Production Occupations
51-9194,Etchers and Engravers,30620,Production Occupations
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",34030,Production Occupations
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",39210,Production Occupations
51-9197,Tire Builders,46010,Production Occupations
51-9198,Helpers--Production Workers,29100,Production Occupations
51-9199,"Production Workers, All Other",29800,Production Occupations
53-0000,Transportation and Material Moving Occupations,32440,Transportation and Material Moving Occupations
53-1000,Supervisors of Transportation and Material Moving Workers,55040,Transportation and Material Moving Occupations
53-1040,First-Line Supervisors of Transportation and Material Moving Workers,55040,Transportation and Material Moving Occupations
53-1041,Aircraft Cargo Handling Supervisors,53850,Transportation and Material Moving Occupations
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",55060,Transportation and Material Moving Occupations
53-2000,Air Transportation Workers,75760,Transportation and Material Moving Occupations
53-2010,Aircraft Pilots and Flight Engineers,121430,Transportation and Material Moving Occupations
53-2011,"Airline Pilots, Copilots, and Flight Engineers",147220,Transportation and Material Moving Occupations
53-2012,Commercial Pilots,86080,Transportation and Material Moving Occupations
53-2020,Air Traffic Controllers and Airfield Operations Specialists,93190,Transportation and Material Moving Occupations
53-2021,Air Traffic Controllers,122990,Transportation and Material Moving Occupations
53-2022,Airfield Operations Specialists,52650,Transportation and Material Moving Occupations
53-2030,Flight Attendants,56640,Transportation and Material Moving Occupations
53-2031,Flight Attendants,56640,Transportation and Material Moving Occupations
53-3000,Motor Vehicle Operators,38550,Transportation and Material Moving Occupations
53-3010,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",25890,Transportation and Material Moving Occupations
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",25890,Transportation and Material Moving Occupations
53-3030,Driver/Sales Workers and Truck Drivers,40310,Transportation and Material Moving Occupations
53-3031,Driver/Sales Workers,25860,Transportation and Material Moving Occupations
53-3032,Heavy and Tractor-Trailer Truck Drivers,45260,Transportation and Material Moving Occupations
53-3033,Light Truck Drivers,34730,Transportation and Material Moving Occupations
53-3050,Passenger Vehicle Drivers,33300,Transportation and Material Moving Occupations
53-3052,"Bus Drivers, Transit and Intercity",43030,Transportation and Material Moving Occupations
53-3058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",31340,Transportation and Material Moving Occupations
53-3090,Miscellaneous Motor Vehicle Operators,32910,Transportation and Material Moving Occupations
53-3099,"Motor Vehicle Operators, All Other",32910,Transportation and Material Moving Occupations
53-4000,Rail Transportation Workers,64890,Transportation and Material Moving Occupations
53-4010,Locomotive Engineers and Operators,65040,Transportation and Material Moving Occupations
53-4011,Locomotive Engineers,67090,Transportation and Material Moving Occupations
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",49330,Transportation and Material Moving Occupations
53-4020,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",60260,Transportation and Material Moving Occupations
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",60260,Transportation and Material Moving Occupations
53-4030,Railroad Conductors and Yardmasters,65990,Transportation and Material Moving Occupations
53-4031,Railroad Conductors and Yardmasters,65990,Transportation and Material Moving Occupations
53-4040,Subway and Streetcar Operators,67880,Transportation and Material Moving Occupations
53-4041,Subway and Streetcar Operators,67880,Transportation and Material Moving Occupations
53-4090,Miscellaneous Rail Transportation Workers,51600,Transportation and Material Moving Occupations
53-4099,"Rail Transportation Workers, All Other",51600,Transportation and Material Moving Occupations
53-5000,Water Transportation Workers,57330,Transportation and Material Moving Occupations
53-5010,Sailors and Marine Oilers,43480,Transportation and Material Moving Occupations
53-5011,Sailors and Marine Oilers,43480,Transportation and Material Moving Occupations
53-5020,Ship and Boat Captains and Operators,69890,Transportation and Material Moving Occupations
53-5021,"Captains, Mates, and Pilots of Water Vessels",72340,Transportation and Material Moving Occupations
53-5022,Motorboat Operators,48260,Transportation and Material Moving Occupations
53-5030,Ship Engineers,74610,Transportation and Material Moving Occupations
53-5031,Ship Engineers,74610,Transportation and Material Moving Occupations
53-6000,Other Transportation Workers,26770,Transportation and Material Moving Occupations
53-6010,Bridge and Lock Tenders,50110,Transportation and Material Moving Occupations
53-6011,Bridge and Lock Tenders,50110,Transportation and Material Moving Occupations
53-6020,Parking Attendants,25140,Transportation and Material Moving Occupations
53-6021,Parking Attendants,25140,Transportation and Material Moving Occupations
53-6031,Automotive and Watercraft Service Attendants,25200,Transportation and Material Moving Occupations
53-6040,Traffic Technicians,47480,Transportation and Material Moving Occupations
53-6041,Traffic Technicians,47480,Transportation and Material Moving Occupations
53-6050,Transportation Inspectors,75820,Transportation and Material Moving Occupations
53-6051,Transportation Inspectors,75820,Transportation and Material Moving Occupations
53-6060,Passenger Attendants,26570,Transportation and Material Moving Occupations
53-6061,Passenger Attendants,26570,Transportation and Material Moving Occupations
53-6098,"Aircraft Service Attendants and Transportation Workers, All Other",37000,Transportation and Material Moving Occupations
53-7000,Material Moving Workers,29060,Transportation and Material Moving Occupations
53-7010,Conveyor Operators and Tenders,34660,Transportation and Material Moving Occupations
53-7011,Conveyor Operators and Tenders,34660,Transportation and Material Moving Occupations
53-7020,Crane and Tower Operators,56690,Transportation and Material Moving Occupations
53-7021,Crane and Tower Operators,56690,Transportation and Material Moving Occupations
53-7030,Dredge Operators,47040,Transportation and Material Moving Occupations
53-7031,Dredge Operators,47040,Transportation and Material Moving Occupations
53-7040,Hoist and Winch Operators,59720,Transportation and Material Moving Occupations
53-7041,Hoist and Winch Operators,59720,Transportation and Material Moving Occupations
53-7050,Industrial Truck and Tractor Operators,36200,Transportation and Material Moving Occupations
53-7051,Industrial Truck and Tractor Operators,36200,Transportation and Material Moving Occupations
53-7060,Laborers and Material Movers,28130,Transportation and Material Moving Occupations
53-7061,Cleaners of Vehicles and Equipment,25800,Transportation and Material Moving Occupations
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",29510,Transportation and Material Moving Occupations
53-7063,Machine Feeders and Offbearers,31180,Transportation and Material Moving Occupations
53-7064,"Packers and Packagers, Hand",25910,Transportation and Material Moving Occupations
53-7065,Stockers and Order Fillers,27380,Transportation and Material Moving Occupations
53-7070,Pumping Station Operators,52240,Transportation and Material Moving Occupations
53-7071,Gas Compressor and Gas Pumping Station Operators,66160,Transportation and Material Moving Occupations
53-7072,"Pump Operators, Except Wellhead Pumpers",45040,Transportation and Material Moving Occupations
53-7073,Wellhead Pumpers,55040,Transportation and Material Moving Occupations
53-7080,Refuse and Recyclable Material Collectors,37840,Transportation and Material Moving Occupations
53-7081,Refuse and Recyclable Material Collectors,37840,Transportation and Material Moving Occupations
53-7120,"Tank Car, Truck, and Ship Loaders",42360,Transportation and Material Moving Occupations
53-7121,"Tank Car, Truck, and Ship Loaders",42360,Transportation and Material Moving Occupations
53-7190,Miscellaneous Material Moving Workers,31770,Transportation and Material Moving Occupations
53-7199,"Material Moving Workers, All Other",31770,Transportation and Material Moving Occupations
